#timestamp x y z qx qy qz qw
1787960975.622754 -0.000000 -0.000000 0.000000 0.000000 -0.000000 -0.000000 1.000000
1787960995.122781 0.312157 -0.000265 0.000000 0.000000 0.000000 -0.004599 0.999989
1787960996.222748 0.916750 -0.013587 0.000000 0.000000 0.000000 -0.012987 0.999916
1787960997.223389 1.034055 -0.016617 0.000000 0.000000 0.000000 -0.012818 0.999918
1787960999.722859 1.165295 -0.022620 0.000000 0.000000 0.000000 -0.028390 0.999597
1787961000.822888 1.521179 -0.056860 0.000000 0.000000 0.000000 -0.053327 0.998577
1787961001.922772 1.928234 -0.099603 0.000000 0.000000 0.000000 -0.052371 0.998628
1787961003.023114 2.338523 -0.142741 0.000000 0.000000 0.000000 -0.047603 0.998866
1787961004.223341 2.612633 -0.167171 0.000000 0.000000 0.000000 -0.043831 0.999039
1787961005.323692 2.837589 -0.189978 0.000000 0.000000 0.000000 -0.052437 0.998624
1787961006.423056 3.267221 -0.235201 0.000000 0.000000 0.000000 -0.059536 0.998226
1787961007.423398 3.594813 -0.274801 0.000000 0.000000 0.000000 -0.061427 0.998112
1787961008.522816 4.056083 -0.340229 0.000000 0.000000 0.000000 -0.074953 0.997187
1787961009.627604 4.387401 -0.391952 0.000000 0.000000 0.000000 -0.082108 0.996623
1787961010.724504 4.777744 -0.462381 0.000000 0.000000 0.000000 -0.092509 0.995712
1787961011.822726 5.228735 -0.532938 0.000000 0.000000 0.000000 -0.054499 0.998514
1787961012.922889 5.736033 -0.592721 0.000000 0.000000 0.000000 -0.060437 0.998172
1787961014.122799 6.248312 -0.648219 0.000000 0.000000 0.000000 -0.054601 0.998508
1787961015.122861 6.696178 -0.696562 0.000000 0.000000 0.000000 -0.052355 0.998629
1787961016.125796 7.089299 -0.740822 0.000000 0.000000 0.000000 -0.059849 0.998207
1787961017.223502 7.609470 -0.802973 0.000000 0.000000 0.000000 -0.068143 0.997676
1787961018.323368 8.065016 -0.871025 0.000000 0.000000 0.000000 -0.076462 0.997072
1787961019.522766 8.637695 -0.971838 0.000000 0.000000 0.000000 -0.101498 0.994836
1787961020.622729 9.102867 -1.072528 0.000000 0.000000 0.000000 -0.110493 0.993877
1787961021.623009 9.540091 -1.173204 0.000000 0.000000 0.000000 -0.114135 0.993465
1787961022.722911 10.009996 -1.276608 0.000000 0.000000 0.000000 -0.104166 0.994560
1787961023.723195 10.435879 -1.369991 0.000000 0.000000 0.000000 -0.113033 0.993591
1787961024.823050 10.577353 -1.402761 0.000000 0.000000 0.000000 -0.114782 0.993391
1787961030.423068 10.924691 -1.493037 0.000000 0.000000 0.000000 -0.136626 0.990623
1787961031.622955 11.379706 -1.621601 0.000000 0.000000 0.000000 -0.136210 0.990680
1787961032.822879 11.942230 -1.753941 0.000000 0.000000 0.000000 -0.061323 0.998118
1787961033.922740 12.390885 -1.717666 0.000000 0.000000 0.000000 0.105239 0.994447
1787961036.322750 12.374827 -1.709408 0.000000 0.000000 0.000000 0.051419 0.998677
1787961042.522809 12.580721 -1.688338 0.000000 0.000000 0.000000 0.051288 0.998684
1787961046.622915 12.941671 -1.658401 0.000000 0.000000 0.000000 0.034327 0.999411
1787961047.623024 13.234582 -1.648178 0.000000 0.000000 0.000000 0.007449 0.999972
1787961048.722754 13.603669 -1.661301 0.000000 0.000000 0.000000 -0.054019 0.998540
1787961049.722840 13.922732 -1.705502 0.000000 0.000000 0.000000 -0.079861 0.996806
1787961050.822876 14.262703 -1.761350 0.000000 0.000000 0.000000 -0.085152 0.996368
1787961052.122701 14.660143 -1.838898 0.000000 0.000000 0.000000 -0.105809 0.994386
1787961053.222831 14.955014 -1.904980 0.000000 0.000000 0.000000 -0.115363 0.993323
1787961054.222914 15.264703 -1.976247 0.000000 0.000000 0.000000 -0.108361 0.994112
1787961055.322887 15.619346 -2.048343 0.000000 0.000000 0.000000 -0.095104 0.995467
1787961056.422737 15.978472 -2.119350 0.000000 0.000000 0.000000 -0.103830 0.994595
1787961057.522784 16.264656 -2.182276 0.000000 0.000000 0.000000 -0.109246 0.994015
1787961058.622720 16.605032 -2.264846 0.000000 0.000000 0.000000 -0.126288 0.991994
1787961059.622743 16.905224 -2.341240 0.000000 0.000000 0.000000 -0.135089 0.990833
1787961060.823466 17.246742 -2.446514 0.000000 0.000000 0.000000 -0.157273 0.987555
1787961061.924093 17.581892 -2.552917 0.000000 0.000000 0.000000 -0.145730 0.989324
1787961063.022776 17.870203 -2.638916 0.000000 0.000000 0.000000 -0.141659 0.989916
1787961064.122761 18.238314 -2.745628 0.000000 0.000000 0.000000 -0.138489 0.990364
1787961065.422826 18.445824 -2.802650 0.000000 0.000000 0.000000 -0.131950 0.991256
1787961085.523043 18.633791 -2.846116 0.000000 0.000000 0.000000 -0.106043 0.994362
1787961086.622742 18.961037 -2.911020 0.000000 0.000000 0.000000 -0.086749 0.996230
1787961087.622951 19.269690 -2.955379 0.000000 0.000000 0.000000 -0.069966 0.997549
1787961088.722688 19.605066 -2.999543 0.000000 0.000000 0.000000 -0.062669 0.998034
1787961089.722841 19.908819 -3.033974 0.000000 0.000000 0.000000 -0.059532 0.998226
1787961091.022785 20.298183 -3.088924 0.000000 0.000000 0.000000 -0.074009 0.997258
1787961092.023198 20.671667 -3.146442 0.000000 0.000000 0.000000 -0.078390 0.996923
1787961093.023222 20.984612 -3.195513 0.000000 0.000000 0.000000 -0.078409 0.996921
1787961094.122762 21.506504 -3.295237 0.000000 0.000000 0.000000 -0.105072 0.994465
1787961095.122797 21.909527 -3.386959 0.000000 0.000000 0.000000 -0.118917 0.992904
1787961096.222878 22.411005 -3.506299 0.000000 0.000000 0.000000 -0.104839 0.994489
1787961097.223020 22.846510 -3.594722 0.000000 0.000000 0.000000 -0.091965 0.995762
1787961098.322738 23.303156 -3.671183 0.000000 0.000000 0.000000 -0.077936 0.996958
1787961099.323590 23.700609 -3.734915 0.000000 0.000000 0.000000 -0.072175 0.997392
1787961100.422943 24.152422 -3.799434 0.000000 0.000000 0.000000 -0.068458 0.997654
1787961101.522887 24.548744 -3.859931 0.000000 0.000000 0.000000 -0.081629 0.996663
1787961106.022736 24.879662 -3.938104 0.000000 0.000000 0.000000 -0.118872 0.992910
1787961107.023166 25.289211 -3.982869 0.000000 0.000000 0.000000 0.034370 0.999409
1787961108.123120 25.738483 -3.895487 0.000000 0.000000 0.000000 0.130530 0.991444
1787961109.422742 26.295107 -3.798466 0.000000 0.000000 0.000000 -0.001991 0.999998
1787961110.422839 26.744116 -3.836154 0.000000 0.000000 0.000000 -0.063102 0.998007
1787961111.522731 27.224134 -3.892369 0.000000 0.000000 0.000000 -0.056708 0.998391
1787961112.522998 27.676542 -3.951763 0.000000 0.000000 0.000000 -0.082015 0.996631
1787961113.623039 28.102304 -4.029933 0.000000 0.000000 0.000000 -0.092047 0.995755
1787961114.722916 28.579638 -4.116878 0.000000 0.000000 0.000000 -0.087561 0.996159
1787961115.822763 29.059446 -4.194881 0.000000 0.000000 0.000000 -0.076111 0.997099
1787961116.922808 29.562202 -4.277777 0.000000 0.000000 0.000000 -0.091991 0.995760
1787961118.022721 30.060738 -4.385744 0.000000 0.000000 0.000000 -0.111890 0.993721
1787961119.022728 30.468239 -4.477711 0.000000 0.000000 0.000000 -0.100654 0.994922
1787961120.022762 30.906258 -4.552308 0.000000 0.000000 0.000000 -0.079923 0.996801
1787961121.022845 31.339260 -4.624460 0.000000 0.000000 0.000000 -0.086181 0.996280
1787961122.023015 31.763069 -4.705669 0.000000 0.000000 0.000000 -0.097775 0.995209
1787961123.122738 32.240459 -4.797024 0.000000 0.000000 0.000000 -0.096361 0.995346
1787961124.122760 32.698364 -4.890120 0.000000 0.000000 0.000000 -0.099226 0.995065
1787961125.222780 33.107040 -4.981110 0.000000 0.000000 0.000000 -0.117508 0.993072
1787961126.322749 33.581478 -5.099974 0.000000 0.000000 0.000000 -0.136944 0.990579
1787961127.322814 34.015713 -5.228850 0.000000 0.000000 0.000000 -0.148596 0.988898
1787961128.323340 34.402977 -5.345161 0.000000 0.000000 0.000000 -0.141985 0.989869
1787961129.422966 34.879616 -5.482358 0.000000 0.000000 0.000000 -0.133311 0.991074
1787961130.522768 35.351383 -5.620355 0.000000 0.000000 0.000000 -0.149677 0.988735
1787961131.722715 35.854591 -5.787239 0.000000 0.000000 0.000000 -0.163150 0.986601
1787961132.822927 36.261978 -5.930277 0.000000 0.000000 0.000000 -0.168707 0.985666

1787961133.922746 36.733238 -6.092486 0.000000 0.000000 0.000000 -0.158325 0.987387
1787961134.922746 37.164513 -6.217952 0.000000 0.000000 0.000000 -0.126087 0.992019
1787961136.022933 37.576912 -6.307337 0.000000 0.000000 0.000000 -0.092684 0.995696

1787961137.023912 38.066990 -6.380803 0.000000 0.000000 0.000000 -0.064834 0.997896
1787961138.122818 38.496422 -6.434031 0.000000 0.000000 0.000000 -0.063535 0.997980
1787961139.222723 38.962315 -6.494487 0.000000 0.000000 0.000000 -0.069351 0.997592
# 1er GIRO IZQUIERDA  
1787961140.222748 39.407871 -6.556553 0.000000 0.000000 0.000000 -0.065485 0.997854
1787961141.222814 39.844536 -6.622646 0.000000 0.000000 0.000000 -0.087799 0.996138
1787961142.322777 40.301083 -6.699477 0.000000 0.000000 0.000000 -0.076494 0.997070
1787961143.323068 40.739536 -6.760221 0.000000 0.000000 0.000000 -0.063446 0.997985
1787961144.323172 41.149517 -6.818929 0.000000 0.000000 0.000000 -0.074796 0.997199
1787961145.422779 41.610764 -6.892580 0.000000 0.000000 0.000000 -0.076991 0.997032
1787961147.622719 41.589546 -6.897645 0.000000 0.000000 0.000000 0.218535 0.975829
1787961148.622720 41.567081 -6.916133 0.000000 0.000000 0.000000 0.465338 0.885133
1787961149.622730 41.564884 -6.916954 0.000000 0.000000 0.000000 0.636003 0.771686
1787961151.623250 41.594215 -6.797008 0.000000 0.000000 0.000000 0.615020 0.788511
1787961152.722792 41.683300 -6.398702 0.000000 0.000000 0.000000 0.649768 0.760133
1787961153.822762 41.704254 -6.287862 0.000000 0.000000 0.000000 0.616782 0.787134
1787961156.222839 41.775906 -6.017179 0.000000 0.000000 0.000000 0.609667 0.792657
1787961157.322828 41.876869 -5.516753 0.000000 0.000000 0.000000 0.653759 0.756703
1787961158.323166 41.939270 -5.075679 0.000000 0.000000 0.000000 0.660000 0.751266
1787961159.422921 41.992027 -4.616707 0.000000 0.000000 0.000000 0.667282 0.744806
1787961160.522875 42.044933 -4.170229 0.000000 0.000000 0.000000 0.672812 0.739813
1787961161.722759 42.090454 -3.635295 0.000000 0.000000 0.000000 0.672809 0.739816

# FIN 1ER GIRO IZQUIERDA

1787961162.722759 42.137253 -3.196177 0.000000 0.000000 0.000000 0.666098 0.745864
1787961163.823063 42.197075 -2.736848 0.000000 0.000000 0.000000 0.654809 0.755794
1787961164.922827 42.266174 -2.262747 0.000000 0.000000 0.000000 0.651813 0.758380
1787961165.922880 42.328606 -1.842195 0.000000 0.000000 0.000000 0.655141 0.755507
1787961166.923428 42.388638 -1.403579 0.000000 0.000000 0.000000 0.660292 0.751009
1787961168.022923 42.437202 -0.964237 0.000000 0.000000 0.000000 0.673539 0.739152
1787961169.122922 42.478249 -0.434510 0.000000 0.000000 0.000000 0.683508 0.729944
1787961170.222769 42.487503 0.039864 0.000000 0.000000 0.000000 0.713530 0.700625
1787961171.222823 42.478436 0.407559 0.000000 0.000000 0.000000 0.719667 0.694319
1787961172.322883 42.457348 0.890521 0.000000 0.000000 0.000000 0.722743 0.691117
1787961173.323508 42.437279 1.390684 0.000000 0.000000 0.000000 0.715084 0.699039
1787961174.523093 42.442608 1.909825 0.000000 0.000000 0.000000 0.698851 0.715267
1787961175.622748 42.456104 2.353732 0.000000 0.000000 0.000000 0.693276 0.720672
1787961176.622955 42.471123 2.797324 0.000000 0.000000 0.000000 0.697105 0.716969
1787961177.722711 42.487816 3.265243 0.000000 0.000000 0.000000 0.693388 0.720564
1787961178.722748 42.503990 3.716879 0.000000 0.000000 0.000000 0.694823 0.719181
1787961179.822718 42.513287 4.210796 0.000000 0.000000 0.000000 0.704554 0.709650
1787961180.823322 42.506336 4.663538 0.000000 0.000000 0.000000 0.716929 0.697146
1787961181.923071 42.483364 5.139014 0.000000 0.000000 0.000000 0.727118 0.686512
1787961183.222746 42.460037 5.722952 0.000000 0.000000 0.000000 0.716637 0.697446
1787961184.322715 42.448536 6.224343 0.000000 0.000000 0.000000 0.714736 0.699394
1787961185.322820 42.437817 6.645372 0.000000 0.000000 0.000000 0.718646 0.695376

# MITAD PASILLO
1787961186.422773 42.421997 7.148550 0.000000 0.000000 0.000000 0.718149 0.695889
1787961187.422874 42.406704 7.587972 0.000000 0.000000 0.000000 0.719408 0.694588
1787961188.529256 42.391003 8.007197 0.000000 0.000000 0.000000 0.720751 0.693194
1787961189.823287 42.367233 8.611097 0.000000 0.000000 0.000000 0.724221 0.689568
1787961190.922800 42.334858 9.075677 0.000000 0.000000 0.000000 0.732982 0.680248
1787961192.022801 42.306641 9.515997 0.000000 0.000000 0.000000 0.724314 0.689470
