#timestamp x y z qx qy qz qw
1787959824.834382 0.000000 -0.000000 0.000000 0.000000 -0.000000 -0.000000 1.000000
1787959858.334780 0.666440 -0.072724 0.000000 0.000000 0.000000 -0.054838 0.998495
1787959859.534394 0.977984 -0.114040 0.000000 0.000000 0.000000 -0.073281 0.997311
1787959863.734667 1.186513 -0.148433 0.000000 0.000000 0.000000 -0.083032 0.996547
1787959864.834548 1.705799 -0.234674 0.000000 0.000000 0.000000 -0.076837 0.997044
1787959865.934451 2.181574 -0.305839 0.000000 0.000000 0.000000 -0.074899 0.997191
1787959867.034363 2.744388 -0.422208 0.000000 0.000000 0.000000 -0.116139 0.993233
1787959868.034494 3.248761 -0.533366 0.000000 0.000000 0.000000 -0.103110 0.994670
1787959869.134361 3.780922 -0.642179 0.000000 0.000000 0.000000 -0.102668 0.994716
1787959870.134405 4.275388 -0.766295 0.000000 0.000000 0.000000 -0.129074 0.991635
1787959871.334835 4.907565 -0.940098 0.000000 0.000000 0.000000 -0.137224 0.990540
1787959872.537619 5.436039 -1.082048 0.000000 0.000000 0.000000 -0.121115 0.992638
1787959873.634433 5.994380 -1.164522 0.000000 0.000000 0.000000 -0.017824 0.999841
1787959874.734504 6.432573 -1.167024 0.000000 0.000000 0.000000 0.009920 0.999951
1787959876.034372 7.192976 -1.152048 0.000000 0.000000 0.000000 -0.003148 0.999995
1787959877.134348 7.731626 -1.165764 0.000000 0.000000 0.000000 -0.019849 0.999803
1787959878.134381 8.254507 -1.195711 0.000000 0.000000 0.000000 -0.033984 0.999422
1787959879.134690 8.780287 -1.234765 0.000000 0.000000 0.000000 -0.045008 0.998987
1787959880.234549 9.336928 -1.288966 0.000000 0.000000 0.000000 -0.048939 0.998802
1787959881.334450 9.886539 -1.343667 0.000000 0.000000 0.000000 -0.050517 0.998723
1787959882.634455 10.556190 -1.421825 0.000000 0.000000 0.000000 -0.058636 0.998279
1787959883.734416 11.057344 -1.483810 0.000000 0.000000 0.000000 -0.060163 0.998189
1787959884.834495 11.642743 -1.526042 0.000000 0.000000 0.000000 -0.011932 0.999929
1787959885.934380 12.184787 -1.534049 0.000000 0.000000 0.000000 -0.009816 0.999952
1787959886.934845 12.681087 -1.535887 0.000000 0.000000 0.000000 -0.004183 0.999991
1787959888.234789 13.341649 -1.548209 0.000000 0.000000 0.000000 -0.005874 0.999983
1787959889.334558 13.880766 -1.558241 0.000000 0.000000 0.000000 -0.014979 0.999888
1787959890.434376 14.429663 -1.572096 0.000000 0.000000 0.000000 -0.002567 0.999997
1787959913.834353 14.606464 -1.571041 0.000000 0.000000 0.000000 0.009261 0.999957
1787959914.834558 15.144799 -1.583490 0.000000 0.000000 0.000000 -0.028778 0.999586
1787959915.934454 15.727888 -1.632346 0.000000 0.000000 0.000000 -0.050604 0.998719
1787959916.935180 16.424883 -1.721302 0.000000 0.000000 0.000000 -0.075003 0.997183
1787959918.334528 17.273298 -1.857376 0.000000 0.000000 0.000000 -0.084530 0.996421
1787959919.534517 17.971184 -1.973671 0.000000 0.000000 0.000000 -0.076729 0.997052
1787959920.634399 18.712868 -2.060715 0.000000 0.000000 0.000000 -0.046950 0.998897
1787959921.634447 19.342154 -2.075899 0.000000 0.000000 0.000000 0.018143 0.999835
1787959922.634533 19.986809 -2.042134 0.000000 0.000000 0.000000 0.028989 0.999580
1787959923.834451 20.750757 -2.004002 0.000000 0.000000 0.000000 0.017095 0.999854
1787959924.835210 21.260201 -1.992441 0.000000 0.000000 0.000000 0.004809 0.999988
1787959925.934557 21.953253 -2.007416 0.000000 0.000000 0.000000 -0.023630 0.999721
1787959927.034367 22.742886 -2.048412 0.000000 0.000000 0.000000 -0.020510 0.999790
1787959928.034420 23.371286 -2.059093 0.000000 0.000000 0.000000 0.003124 0.999995
1787959929.034583 24.017517 -2.040512 0.000000 0.000000 0.000000 0.020757 0.999785
1787959930.134450 24.715250 -2.004833 0.000000 0.000000 0.000000 0.029293 0.999571
1787959931.134538 25.325510 -1.981810 0.000000 0.000000 0.000000 0.006635 0.999978
1787959932.134612 25.969036 -1.986947 0.000000 0.000000 0.000000 -0.009745 0.999953
1787959933.234600 26.591810 -1.890728 0.000000 0.000000 0.000000 0.189653 0.981851
1787959934.236312 27.165232 -1.612095 0.000000 0.000000 0.000000 0.220052 0.975488
1787959935.334413 27.347387 -1.532663 0.000000 0.000000 0.000000 0.189207 0.981937
